,track,artist,weight
0,Best Song Ever,One Direction,110
1,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",109
2,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",108
3,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",107
4,As It Was,Harry Styles,106
5,Where Are You Now,"Lost Frequencies, Calum Scott",105
6,Wake Me Up,Avicii,104
7,Run This Town,"JAY-Z, Rihanna, Kanye West",103
8,Low (feat. T-Pain),"Flo Rida, T-Pain",102
9,I Ain't Worried,OneRepublic,101
10,Smack That,"Akon, Eminem",90
11,Stronger,Kanye West,89
12,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",88
13,Break Your Heart,Taio Cruz,87
14,Mr. Brightside,The Killers,86
15,Heat Waves,Glass Animals,85
16,Don't Stop The Music,Rihanna,84
17,Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",83
18,Youngblood,5 Seconds of Summer,82
19,Empire State Of Mind,"JAY-Z, Alicia Keys",81
20,Down,"Jay Sean, Lil Wayne",80
21,Right Round (feat. Ke$ha),"Flo Rida, Kesha",79
22,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",78
23,Pass Out,Tinie Tempah,77
24,American Boy,"Estelle, Kanye West",76
25,Good Feeling,Flo Rida,75
26,Wild Ones (feat. Sia),"Flo Rida, Sia",74
27,Whatcha Say,Jason Derulo,73
28,Titanium (feat. Sia),"David Guetta, Sia",72
29,Scared To Be Lonely - Brooks Remix,"Martin Garrix, Dua Lipa, Brooks",71
30,Too Good At Goodbyes,Sam Smith,70
31,she's all i wanna be,Tate McRae,69
32,The Motto,"Tiësto, Ava Max",68
33,Meet Me Halfway,Black Eyed Peas,67
34,Where Is The Love?,Black Eyed Peas,66
35,Promiscuous,"Nelly Furtado, Timbaland",65
36,Starships,Nicki Minaj,64
37,"1, 2 Step (feat. Missy Elliott) - Main","Ciara, Missy Elliott",63
38,Born This Way,Lady Gaga,62
39,Heroes (we could be),"Alesso, Tove Lo",61
40,Superstar,Jamelia,60
41,Dynamite,Taio Cruz,59
42,Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",58
43,Scars To Your Beautiful,Alessia Cara,57
44,The Sweet Escape,"Gwen Stefani, Akon",56
45,Missing Piece,Vance Joy,55
46,Diamonds,Rihanna,54
47,Take My Breath - Single Version,The Weeknd,53
48,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",52
49,Wildest Dreams,Taylor Swift,51
50,Like A G6,"Far East Movement, The Cataracs, DEV",50
51,Starlight,Dave,49
52,Bad Habits,Ed Sheeran,48
53,Dreams,"Jolyon Petch, Reigan",47
54,Lean On,"Major Lazer, DJ Snake, MØ",46
55,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,"LMC, U2",45
56,First Class,Jack Harlow,44
57,abcdefu,GAYLE,43
58,One More Time,Daft Punk,42
59,Latch,"Disclosure, Sam Smith",41
60,I Feel It Coming,"The Weeknd, Daft Punk",40
61,Girlfriend,Avril Lavigne,39
62,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",38
63,Love Yourself,Justin Bieber,37
64,Gold Digger,"Kanye West, Jamie Foxx",36
65,TiK ToK,Kesha,35
66,Forgot About Dre,"Dr. Dre, Eminem",34
67,Black Betty - Edit,Spiderbait,33
68,Anti-Hero,Taylor Swift,32
69,Thunder,Imagine Dragons,31
70,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",30
71,Let Me Love You,Mario,29
72,Good Life,OneRepublic,28
73,Just Dance,"Lady Gaga, Colby O'Donis",27
74,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,26
75,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean",25
76,Circles,Post Malone,24
77,Paparazzi,Lady Gaga,23
78,Wavin' Flag,K'NAAN,22
79,Holy,"Justin Bieber, Chance the Rapper",21
80,We Found Love,"Rihanna, Calvin Harris",20
81,Pump It,Black Eyed Peas,19
82,Evacuate the Dancefloor,Cascada,18
83,Don't Let Me Down,"The Chainsmokers, Daya",17
84,Hollaback Girl,Gwen Stefani,16
85,I Know You Want Me (Calle Ocho),Pitbull,15
86,Blinding Lights,The Weeknd,14
87,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",13
88,Feel So Close - Radio Edit,Calvin Harris,12
89,Where Did You Go?,"Jax Jones, MNEK",11
90,Señorita,"Shawn Mendes, Camila Cabello",10
91,Since U Been Gone,Kelly Clarkson,9
92,Woke Up Late (feat. Hailee Steinfeld),"Drax Project, Hailee Steinfeld",8
93,My Humps,Black Eyed Peas,7
94,I Gotta Feeling,Black Eyed Peas,6
95,Day 'N' Nite - Crookers Remix,"Kid Cudi, Crookers",5
96,Bleeding Love,Leona Lewis,4
97,Feel the Love (feat. John Newman),"Rudimental, John Newman",3
98,4 Minutes (feat. Justin Timberlake and Timbaland),Madonna,2
99,High (feat. Nicole Millar),"Peking Duk, Nicole Millar",1
